#,"generated_by='OpenQuake engine 3.10.1', start_date='2021-02-15T11:43:20', checksum=3598449318, investigation_time=50.0, imt='AvgSA', smlt_path='b1', gsimlt_path='b1_b31_b21_b71_b51_b41_b61', lon=12.38900000000001, lat=43.111, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[9.925214499106739, 12.38900000000001, 14.852785500893281], lat_bin_edges=[41.31236, 43.111, 44.909639999999996], eps_bin_edges=[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0], tectonic_region_types=['Active Shallow Crust', 'Shield', 'Stable Shallow Crust', 'Subduction Deep', 'Subduction Inslab', 'Subduction Interface', 'Volcanic'], poe=0.30046765304874357"
dist,poe
5.00000E+00,9.93512E-02
1.50000E+01,9.15990E-02
2.50000E+01,5.66701E-02
3.50000E+01,3.08202E-02
4.50000E+01,2.03534E-02
5.50000E+01,1.47993E-02
6.50000E+01,1.00406E-02
7.50000E+01,7.03081E-03
8.50000E+01,4.97158E-03
9.50000E+01,3.28029E-03
1.05000E+02,2.15251E-03
1.15000E+02,1.41023E-03
1.25000E+02,8.74457E-04
1.35000E+02,5.90674E-04
1.45000E+02,3.88588E-04
1.55000E+02,2.60186E-04
1.65000E+02,1.61898E-04
1.75000E+02,1.21876E-04
1.85000E+02,7.91916E-05
1.95000E+02,5.61257E-05
